City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country
petrykivka,48.73,34.64,53.6,81,50,8.95,UA
nikolskoye,59.7,30.79,48.0,81,0,2.48,RU
clyde river,70.47,-68.59,42.8,93,90,3.36,CA
wairoa,-39.03,177.37,51.01,58,100,11.01,NZ
yerbogachen,61.28,108.01,56.93,48,0,13.04,RU
ust-charyshskaya pristan,52.39,83.66,66.76,75,66,12.26,RU
saint george,37.1,-113.58,96.8,15,1,8.05,US
castro,-24.79,-50.01,60.31,73,8,4.0,BR
coolum beach,-26.53,153.1,75.0,65,0,1.99,AU
vestmannaeyjar,63.44,-20.27,51.73,95,100,8.41,IS
inhambane,-23.86,35.38,64.85,75,15,10.89,MZ
mchinji,-13.8,32.88,53.58,43,0,3.04,MW
sabzevar,36.21,57.68,81.45,19,0,7.14,IR
jamestown,42.1,-79.24,73.4,56,1,10.29,US
maceio,-9.67,-35.74,66.2,100,20,2.24,BR
bambous virieux,-20.34,57.76,68.0,88,20,3.36,MU
kijang,35.24,129.21,89.6,62,40,12.75,KR
adolfo lopez mateos,28.47,-107.3,66.34,38,0,4.05,MX
arica,-18.48,-70.3,60.8,77,90,8.05,CL
isangel,-19.55,169.27,77.0,69,90,13.87,VU
linhares,-19.39,-40.07,65.3,92,0,2.55,BR
tasiilaq,65.61,-37.64,46.4,39,0,5.82,GL
los llanos de aridane,28.66,-17.92,73.4,73,13,14.99,ES
moranbah,-22.0,148.05,83.61,23,0,8.63,AU
butaritari,3.07,172.79,82.45,66,10,0.65,KI
kamenka,51.32,42.77,55.99,88,52,10.87,RU
new norfolk,-42.78,147.06,62.01,83,93,1.99,AU
rawson,-43.3,-65.1,47.62,71,100,2.98,AR
qaanaaq,77.48,-69.36,35.78,83,91,4.65,GL
nabire,-3.37,135.48,83.79,72,84,2.42,ID
egvekinot,66.32,-179.17,52.18,79,100,6.44,RU
shetpe,44.17,52.12,74.8,37,11,2.62,KZ
east london,-33.02,27.91,48.2,70,0,8.05,ZA
maputo,-25.97,32.59,59.0,82,40,2.24,MZ
victoria,22.29,114.16,91.99,71,1,7.0,HK
bethel,41.37,-73.41,72.0,94,40,1.81,US
nirasaki,35.7,138.45,90.0,57,43,3.0,JP
bardiyah,31.76,25.09,76.33,79,0,13.24,LY
saldanha,-33.01,17.94,42.8,87,0,1.12,ZA
broome,42.25,-75.83,71.6,56,75,5.82,US
khatanga,71.97,102.5,57.9,46,0,15.84,RU
america dourada,-11.46,-41.44,67.24,77,77,11.41,BR
rabo de peixe,37.8,-25.58,71.6,83,75,1.12,PT
purpe,64.48,76.69,55.0,91,99,18.3,RU
osypenko,46.91,36.83,59.0,100,0,8.01,UA
namibe,-15.2,12.15,59.52,85,0,1.28,AO
prince albert,53.2,-105.77,64.4,59,20,6.93,CA
rundu,-17.93,19.77,55.08,34,0,6.35,NA
mar del plata,-38.0,-57.56,46.99,93,0,4.7,AR
ambilobe,-13.2,49.05,65.77,78,2,2.48,MG
san patricio,19.22,-104.7,81.03,71,99,2.19,MX
guerrero negro,27.98,-114.06,72.88,61,0,16.51,MX
faanui,-16.48,-151.75,78.31,83,13,18.03,PF
nanortalik,60.14,-45.24,45.0,87,100,1.12,GL
atherton,53.52,-2.49,62.01,86,91,5.01,GB
kankaanpaa,61.8,22.42,51.8,93,75,5.82,FI
chuy,-33.7,-53.46,44.92,81,0,4.83,UY
sola,-13.88,167.55,78.94,81,0,18.75,VU
vardo,70.37,31.11,51.8,71,40,4.7,NO
hirtshals,57.59,9.96,64.04,70,0,9.64,DK
pochinok,54.41,32.44,43.77,93,0,6.58,RU
ahipara,-35.17,173.17,58.87,64,21,7.02,NZ
saint-philippe,-21.36,55.77,68.0,60,40,8.05,RE
saint-leu,-21.15,55.28,68.0,60,40,8.05,RE
ponta do sol,32.67,-17.1,71.6,68,40,9.17,PT
cabo san lucas,22.89,-109.91,84.99,69,5,5.82,MX
pachino,36.72,15.09,78.01,48,0,1.01,IT
nieuw amsterdam,5.88,-55.08,80.01,91,61,7.94,SR
paso de los toros,-32.82,-56.52,45.27,70,0,5.23,UY
kattivakkam,13.22,80.32,82.4,74,90,6.93,IN
airai,-8.93,125.41,76.06,44,87,3.74,TL
tanem,63.31,10.43,60.01,93,75,4.7,NO
shache,38.42,77.24,84.34,16,63,5.91,CN
karratha,-20.74,116.85,75.63,24,0,17.16,AU
mkushi,-13.62,29.39,48.88,48,0,4.5,ZM
codrington,-38.27,141.97,60.55,69,0,12.28,AU
wuning,29.26,120.23,93.78,53,0,3.02,CN
plettenberg bay,-34.05,23.37,50.34,73,0,3.38,ZA
koutsouras,35.03,25.95,78.4,66,0,17.96,GR
zunyi,27.69,106.91,75.99,80,100,11.79,CN
nefteyugansk,61.1,72.6,50.0,100,75,11.18,RU
florianopolis,-27.61,-48.5,68.0,100,75,5.82,BR
mon,26.75,95.1,76.66,90,100,0.43,IN
pyaozerskiy,65.83,31.17,50.47,95,100,7.4,RU
upala,10.9,-85.01,75.81,89,91,4.05,CR
muroto,33.28,134.15,87.8,79,20,9.17,JP
kloulklubed,7.04,134.26,86.0,70,75,9.17,PW
wad madani,14.4,33.52,80.28,72,82,12.62,SD
tabory,58.52,64.55,53.11,67,0,3.0,RU
leirvik,59.78,5.5,63.0,89,40,1.99,NO
sao filipe,14.9,-24.5,76.77,88,21,6.51,CV
palmer,42.16,-72.33,70.0,88,20,1.61,US
chifeng,42.27,118.96,84.22,36,0,18.16,CN
kathu,7.92,98.33,84.2,83,40,4.7,TH
labuhan,-6.88,112.21,85.15,66,37,4.9,ID
vostok,46.49,135.88,56.1,100,100,8.59,RU
magna,40.71,-112.1,82.4,15,1,6.93,US
gornozavodsk,58.38,58.32,49.96,71,65,6.87,RU
peniche,39.36,-9.38,63.0,93,0,4.0,PT
usak,38.5,29.42,64.4,59,0,10.29,TR
pevek,69.7,170.31,40.96,89,100,4.79,RU
tuburan,6.64,122.27,86.0,74,20,8.05,PH
avera,33.19,-82.53,78.8,100,75,5.82,US
klaksvik,62.23,-6.59,51.8,93,92,2.24,FO
te anau,-45.42,167.72,42.24,68,16,1.43,NZ
chicama,-7.84,-79.15,60.04,86,74,5.64,PE
carnarvon,-24.87,113.63,69.8,40,0,4.7,AU
nurota,40.56,65.69,75.2,47,0,6.93,UZ
bonavista,48.65,-53.11,66.0,72,89,7.0,CA
russell,32.35,-85.2,84.2,74,40,6.93,US
flin flon,54.77,-101.86,57.09,72,14,5.64,CA
lagoa,39.05,-27.98,71.71,81,98,6.15,PT
khomeyn,33.64,50.08,73.42,28,0,2.17,IR
karangasem,-8.45,115.62,84.2,89,40,14.99,ID
el alto,-4.27,-81.21,62.58,87,99,14.36,PE
sultanpur,26.27,82.07,88.2,73,80,10.54,IN
mega,4.05,38.3,56.12,97,99,12.3,ET
yerofey pavlovich,53.97,121.97,70.81,46,100,7.29,RU
iqaluit,63.75,-68.51,50.0,66,75,9.17,CA
comodoro rivadavia,-45.87,-67.5,41.0,93,40,2.24,AR
bengkulu,-3.8,102.27,84.07,62,89,1.14,ID
tilichiki,60.47,166.1,54.32,79,100,15.64,RU
berdigestyakh,62.1,126.7,58.91,41,0,6.46,RU
pangody,65.85,74.49,46.0,92,100,20.07,RU
iskateley,67.68,53.15,45.28,89,99,9.8,RU
luanda,-8.84,13.23,69.8,94,75,4.7,AO
lamar,33.67,-95.58,84.2,83,1,8.05,US
aksarka,66.56,67.8,50.5,64,23,4.79,RU
mayumba,-3.43,10.66,72.21,91,86,6.76,GA
aquiraz,-3.9,-38.39,78.8,78,40,17.22,BR
bereznik,62.86,42.71,47.77,93,90,1.72,RU
paamiut,61.99,-49.67,42.26,83,0,18.43,GL
hasaki,35.73,140.83,97.0,59,20,9.17,JP
sisimiut,66.94,-53.67,43.81,68,100,5.53,GL
atar,20.52,-13.05,88.36,48,65,9.82,MR
pacific grove,36.62,-121.92,69.8,64,1,3.36,US
wagar,16.15,36.2,81.57,68,99,18.34,SD
sitka,57.05,-135.33,57.2,67,90,3.13,US
half moon bay,37.46,-122.43,84.2,77,1,8.05,US
srivardhan,18.03,73.02,79.77,85,100,15.75,IN
fairbanks,64.84,-147.72,66.2,63,40,5.82,US
vila,42.03,-8.16,55.0,91,0,1.83,PT
saint-joseph,-21.37,55.62,68.0,60,40,8.05,RE
muros,42.78,-9.06,60.01,93,60,1.01,ES
cayenne,4.93,-52.33,77.0,100,2,1.12,GF
awjilah,29.11,21.29,75.96,46,0,6.78,LY
olinda,-8.01,-34.86,75.2,78,40,8.05,BR
tezu,27.92,96.17,76.93,87,100,2.28,IN
kavieng,-2.57,150.8,81.64,82,100,11.9,PG
sayyan,15.17,44.32,66.74,50,97,2.21,YE
tocopilla,-22.09,-70.2,56.73,68,21,7.78,CL
tuatapere,-46.13,167.68,48.99,61,0,1.99,NZ
carballo,43.21,-8.69,57.2,100,75,4.7,ES
hithadhoo,-0.6,73.08,82.36,69,39,2.53,MV
de panne,51.08,2.59,66.0,100,36,2.24,BE
souillac,-20.52,57.52,66.2,88,20,3.36,MU
boa vista,2.82,-60.67,80.6,78,40,1.12,BR
padang,-0.95,100.35,86.38,51,44,1.12,ID
aiquile,-18.2,-65.18,56.25,76,0,3.87,BO
chokurdakh,70.63,147.92,40.37,75,100,6.26,RU
bozoum,6.32,16.38,66.61,95,81,3.11,CF
cacador,-26.78,-51.02,57.81,95,76,1.63,BR
bathsheba,13.22,-59.52,82.4,74,40,17.22,BB
alta floresta,-9.88,-56.09,75.76,34,13,4.23,BR
pervomayskiy,53.25,40.29,51.08,94,69,13.04,RU
derzhavinsk,51.1,66.32,60.8,68,52,2.01,KZ
luoyang,34.68,112.45,93.0,99,19,3.24,CN
khandyga,62.67,135.6,62.13,41,1,2.89,RU
srednekolymsk,67.45,153.68,46.81,80,100,14.72,RU
abu dhabi,24.47,54.37,89.6,79,100,3.36,AE
wainwright,52.84,-110.86,54.43,76,0,3.02,CA
kununurra,-15.77,128.73,91.4,22,47,10.29,AU
maumere,-8.62,122.21,82.47,67,40,3.6,ID
beringovskiy,63.05,179.32,59.67,57,94,5.97,RU
cassilandia,-19.11,-51.73,75.0,38,5,4.56,BR
asmar,35.03,71.36,82.58,54,0,3.2,AF
kahului,20.89,-156.47,87.8,52,40,19.46,US
nemuro,43.32,145.57,62.6,82,75,6.93,JP
lodwar,3.12,35.6,82.65,49,96,7.85,KE
lompoc,34.64,-120.46,68.0,72,1,5.82,US
longyearbyen,78.22,15.64,50.0,76,75,6.93,SJ
kholm,59.27,32.85,45.05,90,0,1.57,RU
chegdomyn,51.12,133.02,64.47,73,100,5.55,RU
norman wells,65.28,-126.83,64.4,72,75,10.29,CA
ostrovnoy,68.05,39.51,44.76,79,79,11.14,RU
lebu,-37.62,-73.65,48.99,86,99,11.79,CL
bilma,18.69,12.92,89.42,28,1,2.21,NE
hobyo,5.35,48.53,74.71,79,100,23.58,SO
griffith,41.53,-87.42,75.0,78,1,3.36,US
pochutla,15.74,-96.47,80.01,84,67,4.14,MX
port hedland,-20.32,118.57,80.6,34,0,12.75,AU
roma,43.21,-75.46,73.4,69,1,3.51,US
leningradskiy,69.38,178.42,60.21,53,65,9.06,RU
fonte boa,-2.5,-66.27,76.78,85,67,2.37,BR
cabra,37.47,-4.44,66.99,71,0,2.1,ES
moerai,-22.43,-151.33,69.33,70,24,14.63,PF
micheweni,-4.97,39.83,73.24,78,0,8.99,TZ
kodinsk,58.69,99.18,72.12,55,5,8.43,RU
camacha,33.08,-16.33,69.8,73,20,9.17,PT
torbay,47.67,-52.73,69.01,100,90,12.75,CA
ashland,40.82,-82.27,72.0,83,20,5.82,US
luebo,-5.35,21.42,70.72,68,100,1.77,CD
meulaboh,4.14,96.13,82.2,62,100,5.19,ID
ancud,-41.87,-73.82,44.01,75,75,11.41,CL
santa rosa,14.31,121.11,86.0,79,98,9.17,PH
carta,46.53,25.75,57.99,91,7,1.21,RO
qadirpur ran,30.29,71.67,91.4,66,40,9.17,PK
kaitangata,-46.28,169.85,46.99,54,33,5.01,NZ
chernyshevskiy,63.01,112.47,53.33,48,0,9.22,RU
katobu,-4.94,122.53,86.18,55,2,7.31,ID
jiayuguan,39.82,98.3,79.52,22,0,7.31,CN
esperance,-33.87,121.9,55.4,93,27,12.75,AU
agirish,61.92,63.02,50.0,64,50,3.71,RU
huarmey,-10.07,-78.15,59.72,85,51,8.34,PE
pisco,-13.7,-76.22,60.01,87,0,4.7,PE
teknaf,20.86,92.31,83.26,85,100,9.44,BD
tahe,52.33,124.73,60.46,93,100,2.77,CN
los andes,-32.83,-70.6,46.99,99,83,1.07,CL
yuryevets,57.32,43.1,52.23,79,100,17.2,RU
port elizabeth,-33.92,25.57,50.0,81,0,8.05,ZA
hualmay,-11.1,-77.61,58.53,84,47,7.38,PE
mount isa,-20.73,139.5,87.8,27,40,14.99,AU
abalak,58.13,68.59,52.03,66,1,6.91,RU
cidreira,-30.18,-50.21,58.84,94,91,5.26,BR
gorontalo,0.54,123.06,88.14,46,51,5.19,ID
veselynove,47.36,31.23,55.4,71,0,6.71,UA
virginia beach,36.85,-75.98,79.0,88,75,3.36,US
mastic beach,40.77,-72.85,73.99,94,1,3.36,US
raudeberg,61.99,5.14,55.99,95,100,9.01,NO
bereda,43.27,-7.54,54.0,100,51,1.01,ES
jutai,-5.18,-68.9,76.46,84,99,2.93,BR
kirovo-chepetsk,58.55,50.04,49.01,77,100,6.85,RU
praia da vitoria,38.73,-27.07,71.6,83,20,4.85,PT
caravelas,-17.71,-39.25,68.65,90,0,3.44,BR
morondava,-20.28,44.28,64.42,71,0,10.38,MG
mehamn,71.04,27.85,51.8,81,75,6.93,NO
fallon,39.47,-118.78,87.8,15,75,11.41,US
sembakung,3.82,117.25,93.22,55,29,1.57,ID
tiarei,-17.53,-149.33,80.6,74,20,5.82,PF
ambulu,-8.35,113.61,84.58,65,5,4.21,ID
birin,26.89,88.07,72.84,82,100,2.91,NP
waipawa,-41.41,175.52,51.01,53,96,12.75,NZ
kandrian,-6.22,149.55,80.37,84,93,13.02,PG
emerald,-23.53,148.17,84.0,37,0,17.22,AU
taltal,-25.4,-70.48,52.0,75,5,3.09,CL
kudahuvadhoo,2.67,72.89,83.71,64,18,7.38,MV
bulgan,48.81,103.53,66.36,63,46,3.13,MN
yar-sale,66.83,70.83,50.79,65,100,10.78,RU
hutchinson,38.06,-97.93,79.0,74,1,8.05,US
tiksi,71.69,128.87,39.63,81,100,13.91,RU
mfou,3.72,11.64,69.8,94,40,3.36,CM
riviere-au-renard,49.0,-64.4,60.8,87,20,8.23,CA
tateyama,34.98,139.87,91.4,66,20,8.05,JP
saint-pierre,-21.34,55.48,68.0,60,40,8.05,RE
saquena,-4.67,-73.52,76.21,87,93,2.37,PE
puerto colombia,10.99,-74.95,82.4,83,20,5.82,CO
ngunguru,-35.62,174.5,59.0,3,91,5.01,NZ
churhat,24.43,81.67,80.26,85,94,9.57,IN
buluang,13.31,123.34,85.03,71,100,5.48,PH
carutapera,-1.2,-46.02,77.45,82,0,7.29,BR
kuusamo,65.97,29.18,53.6,87,20,8.05,FI
tornio,65.85,24.15,60.8,93,90,9.17,FI
krishnarajpet,12.65,76.49,75.2,83,75,12.75,IN
mandalgovi,45.76,106.27,70.21,44,0,3.76,MN
kangaatsiaq,68.31,-53.46,43.66,73,100,6.6,GL
general pico,-35.66,-63.76,48.58,49,78,7.7,AR
georgetown,5.41,100.34,86.0,78,20,3.36,MY
vila franca do campo,37.72,-25.43,71.6,83,75,1.12,PT
ayan,56.45,138.17,62.8,66,100,2.3,RU
rio grande,-32.03,-52.1,51.01,95,74,2.06,BR
kushima,31.46,131.23,89.6,62,20,9.17,JP
mahe,11.7,75.53,77.0,88,75,1.12,IN
dvinskoy,62.15,45.12,47.82,89,82,0.69,RU
vanimo,-2.67,141.3,78.33,90,100,7.05,PG
muravlenko,63.79,74.52,49.01,85,100,19.46,RU
solnechnyy,50.72,136.63,72.03,57,100,5.7,RU
saint-francois,46.42,3.91,66.99,93,75,3.36,FR
kingston upon hull,53.74,-0.34,61.0,93,100,11.41,GB
husavik,66.04,-17.34,50.0,57,22,13.87,IS
san,13.3,-4.9,78.04,78,51,5.86,ML
makakilo city,21.35,-158.09,87.8,51,1,8.05,US
manavalakurichi,8.13,77.3,84.2,79,40,3.36,IN
nishihara,26.18,127.76,91.4,70,75,10.29,JP
alma,48.55,-71.65,61.0,82,20,5.82,CA
tulagi,-9.1,160.15,82.4,83,90,3.36,SB
rurrenabaque,-14.44,-67.53,73.54,85,9,2.39,BO
omsukchan,62.53,155.8,58.8,57,93,13.18,RU
warwick,41.7,-71.42,75.99,73,90,0.38,US
kibala,9.11,18.35,77.0,88,20,4.7,TD
grindavik,63.84,-22.43,48.2,81,75,11.41,IS
zhangye,38.93,100.45,84.96,25,48,9.51,CN
libertador general san martin,-23.81,-64.79,52.0,59,0,3.02,AR
mangrol,21.12,70.12,80.96,87,100,18.97,IN
oistins,13.07,-59.53,82.4,74,40,17.22,BB
havre-saint-pierre,50.23,-63.6,62.6,93,1,8.05,CA
chistogorskiy,53.98,87.38,65.86,78,81,6.02,RU
sambava,-14.27,50.17,68.88,84,76,9.22,MG
college,64.86,-147.8,66.2,48,75,3.36,US
fort nelson,58.81,-122.7,62.6,55,75,13.87,CA
sunrise manor,36.21,-115.07,105.8,12,40,6.93,US
constitucion,-35.33,-72.42,48.65,79,56,3.06,CL
san nicolas,18.17,120.6,87.8,70,40,2.24,PH
pimenta bueno,-11.67,-61.19,80.4,40,2,1.12,BR
berlevag,70.86,29.09,51.8,81,75,6.93,NO
zalaegerszeg,46.84,16.84,66.2,100,20,3.36,HU
verkhoyansk,67.54,133.38,47.73,58,100,10.31,RU
mayen,50.33,7.22,66.99,72,94,3.36,DE
mahebourg,-20.41,57.7,66.2,88,20,3.36,MU
mitsamiouli,-11.38,43.28,75.69,51,0,7.43,KM
marzuq,14.4,46.47,80.62,46,100,3.98,YE
dandong,40.13,124.39,81.9,83,68,9.48,CN
maua,-23.67,-46.46,71.01,64,1,5.82,BR
teahupoo,-17.83,-149.27,80.6,74,20,5.82,PF
bom jesus,-9.07,-44.36,69.64,54,0,2.89,BR
lavrentiya,65.58,-171.0,54.36,63,95,10.56,RU
sept-iles,50.2,-66.38,69.01,68,40,5.82,CA
quesnel,53.0,-122.5,64.4,59,90,2.24,CA
sokoni,-6.43,39.55,75.52,73,0,9.64,TZ
uyuni,-20.46,-66.83,34.59,61,0,10.76,BO
maloy,61.94,5.11,57.2,93,100,14.99,NO
khingansk,49.12,131.18,60.19,98,100,16.44,RU
pathein,16.78,94.73,77.76,92,100,12.73,MM
miyako,39.64,141.95,77.18,66,84,5.39,JP
ternate,0.8,127.4,83.12,67,70,9.08,ID
damghan,36.17,54.35,80.37,32,0,0.65,IR
northam,51.03,-4.22,64.99,95,100,1.01,GB
dukat,62.55,155.55,55.42,65,95,12.62,RU
hobe sound,27.06,-80.14,84.99,74,1,6.93,US
garoua,9.3,13.4,73.06,93,100,2.26,CM
ilesha,7.14,5.26,71.2,91,100,3.22,NG
kedougou,12.56,-12.17,72.82,94,66,6.31,SN
vila velha,-20.33,-40.29,71.6,78,0,6.93,BR
hun,29.13,15.95,69.17,74,0,3.36,LY
vanavara,60.34,102.28,62.1,43,2,10.76,RU
east linton,55.99,-2.66,55.99,95,100,6.2,GB
teberda,43.45,41.74,49.77,66,8,7.07,RU
karpogory,64.0,44.45,43.63,90,0,1.9,RU
bonoua,5.27,-3.6,73.4,100,20,3.36,CI
luwuk,-0.95,122.79,85.15,52,94,5.57,ID
raduzhnyy,62.1,77.47,58.82,77,46,9.75,RU
boueni,-12.9,45.08,75.2,69,0,17.22,YT
sawtell,-30.38,153.1,75.0,64,0,11.41,AU
sinnamary,5.38,-52.95,79.7,86,17,13.22,GF
monmouth,40.3,-74.17,75.99,87,20,4.7,US
treinta y tres,-33.23,-54.38,44.29,79,0,3.36,UY
auki,-8.77,160.7,83.16,77,87,2.46,SB
provideniya,64.38,-173.3,53.6,71,75,15.66,RU
lata,40.16,-8.33,63.0,96,8,1.01,PT
portland,45.52,-122.68,73.99,38,1,5.82,US
katangli,51.71,143.23,66.25,62,72,12.57,RU
kilosa,-6.83,36.98,63.7,83,60,1.74,TZ
tura,25.52,90.22,87.06,70,86,0.76,IN
gainesville,29.65,-82.32,78.01,100,1,3.36,US
loubomo,-4.2,12.67,68.02,90,43,2.98,CG
langsa,4.47,97.97,81.48,68,96,1.68,ID
walvis bay,-22.96,14.51,52.0,81,0,1.12,NA
kikwit,-5.04,18.82,76.35,57,28,1.05,CD
tazovskiy,67.47,78.7,51.24,89,100,14.2,RU
gusev,54.59,22.2,52.99,91,16,4.85,RU
poum,-20.23,164.02,71.22,67,0,13.49,NC
batagay-alyta,67.8,130.41,39.76,86,100,4.88,RU
morros,-9.45,-46.3,71.08,48,0,5.84,BR
nome,64.5,-165.41,62.01,67,1,13.87,US
bafoulabe,13.81,-10.83,74.59,92,48,8.7,ML
anadyr,64.75,177.48,62.6,59,100,8.95,RU
kralendijk,12.15,-68.27,84.2,74,0,18.34,BQ
namatanai,-3.67,152.43,83.17,74,100,6.8,PG
kangaba,11.93,-8.42,71.47,95,15,4.32,ML
jiangyou,31.77,104.72,81.21,76,76,5.01,CN
samarai,-10.62,150.67,77.86,79,36,15.9,PG
rocha,-34.48,-54.33,43.43,77,0,5.01,UY
vikulovo,56.82,70.61,55.96,65,17,10.83,RU
ilulissat,69.22,-51.1,42.8,52,98,2.24,GL
coquimbo,-29.95,-71.34,50.0,87,14,6.22,CL
ulaanbaatar,47.91,106.88,64.4,55,20,2.24,MN
keelung,25.13,121.74,95.0,56,20,3.36,TW
lakes entrance,-37.88,147.98,64.0,67,64,1.99,AU
czluchow,53.67,17.36,59.0,76,0,5.01,PL
tucuman,-26.82,-65.22,50.0,43,0,8.05,AR
buala,-8.14,159.59,84.81,69,90,3.96,SB
porto velho,-8.76,-63.9,78.8,83,74,2.24,BR
iberia,29.95,-91.75,82.0,88,1,3.36,US
luderitz,-26.65,15.16,61.52,32,0,8.68,NA
vestmanna,62.16,-7.17,51.8,93,77,2.24,FO
seoul,37.57,126.98,84.2,79,90,16.42,KR
nuuk,64.18,-51.72,42.8,70,0,6.93,GL
gallup,35.53,-108.74,78.8,19,1,3.36,US
menongue,-14.66,17.69,51.58,42,0,4.43,AO
maragogi,-9.01,-35.22,72.25,83,5,9.33,BR
nicoya,10.15,-85.45,75.61,81,100,2.37,CR
altoona,40.52,-78.39,73.4,78,40,6.93,US
celestun,20.87,-90.4,80.96,81,48,12.12,MX
aswan,24.09,32.91,82.76,27,39,8.52,EG
kalmunai,7.42,81.82,82.24,65,99,1.74,LK
san onofre,9.74,-75.53,79.41,89,100,5.44,CO
kuna,43.49,-116.42,82.4,24,1,5.82,US
batemans bay,-35.72,150.18,64.0,75,100,5.01,AU
atikokan,48.76,-91.62,71.17,66,77,10.69,CA
mongu,-15.25,23.13,55.26,35,0,5.19,ZM
boddam,57.47,-1.78,54.0,93,90,4.7,GB
aksu,41.12,80.26,76.19,38,0,5.79,CN
hirara,24.8,125.28,87.8,84,75,8.05,JP
norman,35.22,-97.44,86.0,74,1,11.41,US
turukhansk,65.82,87.98,74.07,60,47,14.27,RU
gamba,-2.65,10.0,72.48,90,84,7.81,GA
alyangula,-13.85,136.42,82.4,69,40,10.29,AU
